District,Similar District 1,Similar District 2,Similar District 3,Similar District 4,Similar District 5
Van Buren County,Fentress County,Clay County,Bradford SSD,South Carroll SSD,Trousdale County
Warren County,Putnam County,Macon County,Cleveland City,DeKalb County,Unicoi County
Washington County,Hawkins County,Elizabethton City,Cheatham County,Bristol City,Newport City
Johnson City,Loudon County,Maury County,Jefferson County,Sevier County,Marshall County
Wayne County,Benton County,Moore County,Decatur County,Tullahoma City,Sullivan County
Weakley County,Obion County,Henry County,McKenzie SSD,Dyer County,South Carroll SSD
White County,Cannon County,Smith County,Cumberland County,Pickett County,Trousdale County
Williamson County,Arlington City,Sumner County,Collierville City,Germantown City,Bartlett City
Franklin SSD,Manchester City,Oak Ridge City,Lenoir City,Murfreesboro City,Cleveland City
Wilson County,Sumner County,Gibson County SSD,Cheatham County,Lawrence County,Collierville City
Lebanon SSD,Murfreesboro City,Robertson County,Cleveland City,Dayton City,Warren County
Achievement School District,Humboldt City,Haywood County,Hardeman County,Jackson-Madison County,Fayette County
